Fecha,Hora,Demanda,Pred. M1,Pred. M2,Pred. M3
2017-12-22,21,785.8700000000001,780.6015625,775.3292116424898,774.7181644623971
2017-12-22,22,698.3100000000001,698.859375,703.8944660253347,703.1344017086084
2017-12-22,23,623.4,642.3359375,641.8815264982455,641.0242375506031
2017-12-23,0,580.53,532.3203125,584.1296518469582,582.7079853728128
2017-12-23,1,550.64,514.46875,558.3256390883629,557.2940217860676
2017-12-23,2,537.26,504.546875,537.0079016211224,535.6011440416911
2017-12-23,3,531.2,501.171875,530.5294305636779,528.760953416085
2017-12-23,4,539.6400000000001,514.8828125,541.4878264993056,540.0866496746053
2017-12-23,5,570.18,547.375,569.1798486478973,567.8231718042701
2017-12-23,6,592.28,580.796875,600.7709959613596,599.5780030936971
2017-12-23,7,619.76,650.2109375,659.5147371208672,659.5023562037661
2017-12-23,8,668.02,735.6015625,705.3236702794168,706.1313372627942
2017-12-23,9,705.09,782.4375,717.1436099777898,718.4162110185787
2017-12-23,10,719.27,813.3046875,738.7985641775005,740.445885881372
2017-12-23,11,727.03,830.890625,740.6410093156976,742.116806318634
2017-12-23,12,696.78,811.1953125,711.6848098404259,713.7175230543813
2017-12-23,13,690.74,825.796875,716.3307851245596,718.7688550306282
2017-12-23,14,691.61,837.453125,708.5162444794763,710.8812303154867
2017-12-23,15,688.48,824.84375,685.7298599829622,688.403487846114
2017-12-23,16,685.7,778.8984375,648.7312715582085,651.6087861413596
2017-12-23,17,720.53,738.6640625,649.2024380437765,651.9348286347108
2017-12-23,18,823.5600000000001,799.6875,781.0286774008849,782.992156605769
2017-12-23,19,826.74,823.671875,844.635364842232,845.6091270763952
2017-12-23,20,795.4000000000001,779.1015625,780.4404365499936,781.047176584502
2017-12-23,21,731.8799999999999,705.328125,719.1440087853581,719.2313578568858
2017-12-23,22,651.23,623.5859375,647.0773340877744,646.5846994359406
2017-12-23,23,584.97,567.0625,591.5817526886838,590.9417479623116
2017-12-24,0,535.02,461.4375,544.5127735959994,543.8314223253507
2017-12-24,1,511.47999999999996,443.5859375,512.0310624949686,511.3553107839165
2017-12-24,2,490.73,433.6640625,496.70250362581635,495.60553007945157
2017-12-24,3,482.13,430.2890625,483.2728126836617,481.86760320437327
2017-12-24,4,485.17,444.0,491.83553718005396,490.38023191154286
2017-12-24,5,510.18,476.4921875,514.4343995759408,513.4986104906845
2017-12-24,6,510.52,509.9140625,540.8097740315404,540.0777997910234
2017-12-24,7,530.3199999999999,579.328125,579.0299677431109,578.7648589596942
2017-12-24,8,557.1800000000001,664.71875,617.5952959200355,618.2059683232071
2017-12-24,9,574.63,711.5546875,609.2312321539853,610.4621370940926
2017-12-24,10,592.5,742.421875,612.3810392522013,614.1290459847494
2017-12-24,11,600.45,760.0078125,617.7038102214134,619.253514150716
2017-12-24,12,602.65,740.3125,588.9268145152186,590.5962271018778
2017-12-24,13,606.91,754.9140625,624.178907202181,626.0181888332637
2017-12-24,14,612.28,766.5703125,626.0790971965165,628.206377028483
2017-12-24,15,609.83,753.9609375,607.5370124939232,609.9402781307011
2017-12-24,16,603.5999999999999,708.015625,571.1797849269175,573.3461738302676
2017-12-24,17,646.3,667.78125,568.396988237146,570.4432895853993
2017-12-24,18,757.48,728.8046875,707.6460363449562,708.8663142027731
2017-12-24,19,741.95,752.7890625,778.9396223019596,779.5468678773334
2017-12-24,20,697.55,708.21875,697.0978386443307,697.9096680709448
2017-12-24,21,657.2199999999999,634.4453125,623.4835097000048,623.8707237777778
2017-12-24,22,621.03,552.703125,573.2891266070931,573.3638972978173
2017-12-24,23,593.06,496.1796875,559.7272271719401,559.3319843115065
2017-12-25,0,544.56,601.171875,563.0688903028145,562.951918820249
2017-12-25,1,494.35999999999996,583.3203125,531.9547869131583,531.397063694275
2017-12-25,2,459.45,573.3984375,491.4811097093552,490.6956346301181
2017-12-25,3,441.9,570.0234375,464.69602208232965,464.1408980518196
2017-12-25,4,439.3,583.734375,464.81730587747944,464.7128643908776
2017-12-25,5,440.94,616.2265625,482.0966458649855,482.1168209582394
2017-12-25,6,412.62,649.6484375,486.4299567241564,486.38771257473013
2017-12-25,7,419.75,719.0625,497.6186766371113,498.68711053172115
2017-12-25,8,446.31,804.453125,524.233942949819,526.2701034392214
2017-12-25,9,472.55,851.2890625,515.5869258641738,517.8096672366148
2017-12-25,10,497.24,882.15625,527.0272652265152,529.7033199037793
2017-12-25,11,512.76,899.7421875,538.7825083278474,541.6465966180763
2017-12-25,12,522.1,880.046875,517.1453680527592,520.5100587128336
2017-12-25,13,529.31,894.6484375,559.131749746076,562.6144949111439
2017-12-25,14,539.86,906.3046875,563.8143140497597,566.6919919769673
2017-12-25,15,543.5400000000001,893.6953125,550.1578899988351,552.4023053197118
